# file...... H_1_HVAC.csv
# date...... Thu Nov 01 18:15:27 2018
# user...... arnav
# host...... (null)
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,H_1:hvac_load
2005-11-01 00:00:00 PST,+0
2005-11-01 00:10:00 PST,+0
2005-11-01 00:20:00 PST,+0
2005-11-01 00:30:00 PST,+0
2005-11-01 00:40:00 PST,+0
2005-11-01 00:50:00 PST,+0.318551
2005-11-01 01:00:00 PST,+0
2005-11-01 01:10:00 PST,+0
2005-11-01 01:20:00 PST,+0
2005-11-01 01:30:00 PST,+0
2005-11-01 01:40:00 PST,+0
2005-11-01 01:50:00 PST,+0
2005-11-01 02:00:00 PST,+0.318543
2005-11-01 02:10:00 PST,+0
2005-11-01 02:20:00 PST,+0
2005-11-01 02:30:00 PST,+0.318554
2005-11-01 02:40:00 PST,+0
2005-11-01 02:50:00 PST,+0
2005-11-01 03:00:00 PST,+0
2005-11-01 03:10:00 PST,+0
2005-11-01 03:20:00 PST,+0
2005-11-01 03:30:00 PST,+0
2005-11-01 03:40:00 PST,+0
2005-11-01 03:50:00 PST,+0
2005-11-01 04:00:00 PST,+0
2005-11-01 04:10:00 PST,+0
2005-11-01 04:20:00 PST,+0
2005-11-01 04:30:00 PST,+0
2005-11-01 04:40:00 PST,+0
2005-11-01 04:50:00 PST,+0
2005-11-01 05:00:00 PST,+0
2005-11-01 05:10:00 PST,+0
2005-11-01 05:20:00 PST,+0
2005-11-01 05:30:00 PST,+0
2005-11-01 05:40:00 PST,+0
2005-11-01 05:50:00 PST,+0
2005-11-01 06:00:00 PST,+0.318551
2005-11-01 06:10:00 PST,+0
2005-11-01 06:20:00 PST,+0
2005-11-01 06:30:00 PST,+0
2005-11-01 06:40:00 PST,+3.35263
2005-11-01 06:50:00 PST,+3.36214
2005-11-01 07:00:00 PST,+3.37177
2005-11-01 07:10:00 PST,+3.38186
2005-11-01 07:20:00 PST,+3.39273
2005-11-01 07:30:00 PST,+3.40452
2005-11-01 07:40:00 PST,+3.41542
2005-11-01 07:50:00 PST,+3.42643
2005-11-01 08:00:00 PST,+3.43726
2005-11-01 08:10:00 PST,+3.44678
2005-11-01 08:20:00 PST,+3.45622
2005-11-01 08:30:00 PST,+3.46565
2005-11-01 08:40:00 PST,+3.47505
2005-11-01 08:50:00 PST,+3.48442
2005-11-01 09:00:00 PST,+3.49376
2005-11-01 09:10:00 PST,+3.4991
2005-11-01 09:20:00 PST,+3.50442
2005-11-01 09:30:00 PST,+3.50975
2005-11-01 09:40:00 PST,+3.51507
2005-11-01 09:50:00 PST,+3.52039
2005-11-01 10:00:00 PST,+3.52568
2005-11-01 10:10:00 PST,+3.52872
2005-11-01 10:20:00 PST,+3.53268
2005-11-01 10:30:00 PST,+3.53756
2005-11-01 10:40:00 PST,+3.54152
2005-11-01 10:50:00 PST,+3.54547
2005-11-01 11:00:00 PST,+3.54942
2005-11-01 11:10:00 PST,+3.55374
2005-11-01 11:20:00 PST,+3.55899
2005-11-01 11:30:00 PST,+3.56517
2005-11-01 11:40:00 PST,+3.57041
2005-11-01 11:50:00 PST,+3.57564
2005-11-01 12:00:00 PST,+3.58086
2005-11-01 12:10:00 PST,+3.57435
2005-11-01 12:20:00 PST,+3.56781
2005-11-01 12:30:00 PST,+3.56126
2005-11-01 12:40:00 PST,+3.5547
2005-11-01 12:50:00 PST,+3.54813
2005-11-01 13:00:00 PST,+3.54153
2005-11-01 13:10:00 PST,+3.53269
2005-11-01 13:20:00 PST,+3.52476
2005-11-01 13:30:00 PST,+3.51774
2005-11-01 13:40:00 PST,+3.50978
2005-11-01 13:50:00 PST,+3.5018
2005-11-01 14:00:00 PST,+3.4938
2005-11-01 14:10:00 PST,+3.48713
2005-11-01 14:20:00 PST,+3.48044
2005-11-01 14:30:00 PST,+3.47374
2005-11-01 14:40:00 PST,+3.46705
2005-11-01 14:50:00 PST,+3.46011
2005-11-01 15:00:00 PST,+3.45359
2005-11-01 15:10:00 PST,+3.4482
2005-11-01 15:20:00 PST,+3.44182
